customer_id,full_name,address,phone_number,sales_date_month,total_sales
1,Saanvi Krishna,Delhi,9173121081,3,222.0
1,Saanvi Krishna,Delhi,9173121081,4,395.0
1,Saanvi Krishna,Delhi,9173121081,5,312.0
1,Saanvi Krishna,Delhi,9173121081,6,415.0
1,Saanvi Krishna,Delhi,9173121081,7,123.5
1,Saanvi Krishna,Delhi,9173121081,8,160.0
2,Dhanush Sahni,Delhi,9155328165,3,132.0
2,Dhanush Sahni,Delhi,9155328165,4,798.0
2,Dhanush Sahni,Delhi,9155328165,5,70.0
2,Dhanush Sahni,Delhi,9155328165,6,525.5
2,Dhanush Sahni,Delhi,9155328165,7,200.0
2,Dhanush Sahni,Delhi,9155328165,8,260.0
3,Yasmin Shan,Delhi,9191478300,3,213.5
3,Yasmin Shan,Delhi,9191478300,4,132.0
3,Yasmin Shan,Delhi,9191478300,5,564.0
3,Yasmin Shan,Delhi,9191478300,6,202.0
3,Yasmin Shan,Delhi,9191478300,7,353.5
3,Yasmin Shan,Delhi,9191478300,8,170.0
4,Vidur Mammen,Delhi,9119017511,3,212.0
4,Vidur Mammen,Delhi,9119017511,4,123.0
4,Vidur Mammen,Delhi,9119017511,6,265.0
4,Vidur Mammen,Delhi,9119017511,7,463.5
4,Vidur Mammen,Delhi,9119017511,8,534.0
5,Shamik Doctor,Delhi,9105180499,3,255.0
5,Shamik Doctor,Delhi,9105180499,4,312.0
5,Shamik Doctor,Delhi,9105180499,5,112.0
5,Shamik Doctor,Delhi,9105180499,6,755.5
5,Shamik Doctor,Delhi,9105180499,7,240.0
5,Shamik Doctor,Delhi,9105180499,8,100.0
6,Ryan Dugar,Delhi,9142616565,3,61.5
6,Ryan Dugar,Delhi,9142616565,4,332.0
6,Ryan Dugar,Delhi,9142616565,5,102.0
6,Ryan Dugar,Delhi,9142616565,6,789.0
6,Ryan Dugar,Delhi,9142616565,7,51.5
6,Ryan Dugar,Delhi,9142616565,8,283.5
7,Romil Shanker,Delhi,9129451313,3,827.5
7,Romil Shanker,Delhi,9129451313,4,253.5
